provincia_norm,capital,ccaa
A_CORUNA,A Coruña,Galicia
ALAVA,Vitoria-Gasteiz,País Vasco
ALBACETE,Albacete,Castilla-La Mancha
ALICANTE,Alicante,Comunidad Valenciana
ALMERIA,Almería,Andalucía
ASTURIAS,Oviedo,Asturias
AVILA,Ávila,Castilla y León
BADAJOZ,Badajoz,Extremadura
BARCELONA,Barcelona,Cataluña
BURGOS,Burgos,Castilla y León
CACERES,Cáceres,Extremadura
CADIZ,Cádiz,Andalucía
CANTABRIA,Santander,Cantabria
CASTELLON,Castellón de la Plana,Comunidad Valenciana
CEUTA,Ceuta,Ceuta
CIUDAD_REAL,Ciudad Real,Castilla-La Mancha
CORDOBA,Córdoba,Andalucía
CUENCA,Cuenca,Castilla-La Mancha
GIRONA,Girona,Cataluña
GRANADA,Granada,Andalucía
GUADALAJARA,Guadalajara,Castilla-La Mancha
GIPUZKOA,San Sebastián,País Vasco
HUELVA,Huelva,Andalucía
HUESCA,Huesca,Aragón
ILLES_BALEARS,Palma,Illes Balears
JAEN,Jaén,Andalucía
LA_RIOJA,Logroño,La Rioja
LAS_PALMAS,Las Palmas de Gran Canaria,Canarias
LEON,León,Castilla y León
LLEIDA,Lleida,Cataluña
LUGO,Lugo,Galicia
MADRID,Madrid,Comunidad de Madrid
MALAGA,Málaga,Andalucía
MELILLA,Melilla,Melilla
MURCIA,Murcia,Región de Murcia
NAVARRA,Pamplona,Navarra
OURENSE,Ourense,Galicia
PALENCIA,Palencia,Castilla y León
PONTEVEDRA,Pontevedra,Galicia
SALAMANCA,Salamanca,Castilla y León
SANTA_CRUZ_DE_TENERIFE,Santa Cruz de Tenerife,Canarias
SEGOVIA,Segovia,Castilla y León
SEVILLA,Sevilla,Andalucía
SORIA,Soria,Castilla y León
TARRAGONA,Tarragona,Cataluña
TERUEL,Teruel,Aragón
TOLEDO,Toledo,Castilla-La Mancha
VALENCIA,Valencia,Comunidad Valenciana
VALLADOLID,Valladolid,Castilla y León
BIZKAIA,Bilbao,País Vasco
ZAMORA,Zamora,Castilla y León
ZARAGOZA,Zaragoza,Aragón
