owner_scope,n_skus,total_pick_lines,pct_total_pick_lines,top_sku,top_sku_pick_lines
GLOBAL,7795,65189,1.0,011014,2775
23,1324,10709,0.16427618156437435,011014,1286
24,673,9726,0.1491969504057433,031045,739
3,883,7840,0.12026568899660986,012012,599
4,566,6285,0.0964119713448588,018000,631
29,378,3808,0.058414763226924786,011014,637
82,91,3666,0.05623648161499639,065072,663
5,428,2878,0.044148552669928974,012025,190
14,600,2137,0.03278160425838715,102183,25
30,216,1852,0.028409701023178757,016010,118
33,144,1833,0.028118240807498196,124139,224
